"c17271c4d7 href","eedb7a060f src","b87c397a13","de576f5064 href","d823fbbeed","a297f43545","a297f43545 2","bc946a29db 2","f63b14ab7a","f63b14ab7a 2","fff1944c52 2","fff1944c52 3","fff1944c52 4","fff1944c52 5","b87c397a13 2","bc946a29db 3","fff1944c52 7","f323fd7e96 2","fff1944c52 8","d651523034","b7d3eb6716"
"https://www.booking.com/hotel/th/somerset-rama-ix.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=597446711_407774993_2_2_0&highlighted_blocks=597446711_407774993_2_2_0&matching_block_id=597446711_407774993_2_2_0&sr_pri_blocks=597446711_407774993_2_2_0__330100&from_sustainable_property_sr=1&from=searchresults","https://cf.bstatic.com/xdata/images/hotel/square240/252079246.webp?k=a54f4d6b1a03046b572973bdf16f966e3b4d62b1fbd338285832320271e81bf7&o=","Somerset Rama 9 Bangkok","https://www.booking.com/hotel/th/somerset-rama-ix.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=597446711_407774993_2_2_0&highlighted_blocks=597446711_407774993_2_2_0&matching_block_id=597446711_407774993_2_2_0&sr_pri_blocks=597446711_407774993_2_2_0__330100&from_sustainable_property_sr=1&from=searchresults&map=1","ห้วยขวาง, กรุงเทพมหานคร","6.6 กม. จากย่านใจกลาง","ใกล้รถไฟฟ้า/ใต้ดิน","ได้ 8.6 คะแนน","8.6","ยอดเยี่ยม","1,260 ความคิดเห็นจากผู้เข้าพัก","ห้องดีลักซ์เตียงแฝด","2 เตียงเดี่ยว","ยกเลิกฟรี","THB 3,301","ราคา THB 3,301","รวมภาษีและค่าธรรมเนียมแล้ว","","","",""
"https://www.booking.com/hotel/th/thonglor-ekamai-spacious-1-br-1-bathroom-sofa-bed-kitchen.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=1223638203_418531362_0_0_0_887426&highlighted_blocks=1223638203_418531362_0_0_0_887426&matching_block_id=1223638203_418531362_0_0_0_887426&sr_pri_blocks=1223638203_418531362_0_0_0_887426_64260&from=searchresults","https://cf.bstatic.com/xdata/images/hotel/square240/647866031.webp?k=3114017e7f48dd47d409db5b2a74d0af39caf8a11a69677273af3266789312ba&o=","Petch Tower Ekkamai","https://www.booking.com/hotel/th/thonglor-ekamai-spacious-1-br-1-bathroom-sofa-bed-kitchen.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=1223638203_418531362_0_0_0_887426&highlighted_blocks=1223638203_418531362_0_0_0_887426&matching_block_id=1223638203_418531362_0_0_0_887426&sr_pri_blocks=1223638203_418531362_0_0_0_887426_64260&from=searchresults&map=1","วัฒนา, กรุงเทพมหานคร (สุขุมวิท)","9 กม. จากย่านใจกลาง","","ได้ 7.3 คะแนน","7.3","ดี","24 ความคิดเห็นจากผู้เข้าพัก","ห้องเตียงใหญ่ราคาประหยัด","1 เตียงควีนไซส์","ยกเลิกฟรี","THB 643","ราคาเดิม THB 1,020 ราคาปัจจุบัน THB 643","ไม่รวมภาษีและค่าธรรมเนียม THB 100","ข้อเสนอจำกัดเวลา","THB 1,020","",""
"https://www.booking.com/hotel/th/thee.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=108069302_129992767_3_1_0_1127716&highlighted_blocks=108069302_129992767_3_1_0_1127716&matching_block_id=108069302_129992767_3_1_0_1127716&sr_pri_blocks=108069302_129992767_3_1_0_1127716_213707&from=searchresults","https://cf.bstatic.com/xdata/images/hotel/square240/593081022.webp?k=11c8ec63f50a504103d174b8f1474497cd4d6ff869ffdc35d076ac2385fd6e93&o=","THEE Bangkok by TH District ""newly renovated""","https://www.booking.com/hotel/th/thee.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=108069302_129992767_3_1_0_1127716&highlighted_blocks=108069302_129992767_3_1_0_1127716&matching_block_id=108069302_129992767_3_1_0_1127716&sr_pri_blocks=108069302_129992767_3_1_0_1127716_213707&from=searchresults&map=1","คลองเตย, กรุงเทพมหานคร (สุขุมวิท)","6.8 กม. จากย่านใจกลาง","","ได้ 8.2 คะแนน","8.2","ดีมาก","819 ความคิดเห็นจากผู้เข้าพัก","ห้องมาตรฐานเตียงใหญ่หรือเตียงแฝดไม่มีหน้าต่าง","เตียง: 1 เตียงใหญ่ หรือ 2 เตียงเดี่ยว • มีเปลเด็กให้บริการฟรีเสมอ","","THB 2,137","ราคาเดิม THB 4,059 ราคาปัจจุบัน THB 2,137","รวมภาษีและค่าธรรมเนียมแล้ว","ข้อเสนอส่งท้ายปี","THB 4,059","รวมอาหารเช้า",""
"https://www.booking.com/hotel/th/the-mustang-blu.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=603138908_309461470_2_1_0&highlighted_blocks=603138908_309461470_2_1_0&matching_block_id=603138908_309461470_2_1_0&sr_pri_blocks=603138908_309461470_2_1_0__526500&from=searchresults","https://cf.bstatic.com/xdata/images/hotel/square240/236702952.webp?k=9d782a0e4370a73c54e6e9db1cd91148a61f1d723353374d324df497fbb9f2a0&o=","The Mustang Blu","https://www.booking.com/hotel/th/the-mustang-blu.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=603138908_309461470_2_1_0&highlighted_blocks=603138908_309461470_2_1_0&matching_block_id=603138908_309461470_2_1_0&sr_pri_blocks=603138908_309461470_2_1_0__526500&from=searchresults&map=1","เยาวราช, กรุงเทพมหานคร (เยาวราช)","2.1 กม. จากย่านใจกลาง","ใกล้รถไฟฟ้า/ใต้ดิน","ได้ 9.0 คะแนน","9.0","ดีเลิศ","616 ความคิดเห็นจากผู้เข้าพัก","ห้องดีลักซ์เตียงใหญ่","1 เตียงควีนไซส์","","THB 5,265","ราคาเดิม THB 6,500 ราคาปัจจุบัน THB 5,265","รวมภาษีและค่าธรรมเนียมแล้ว","","THB 6,500","รวมอาหารเช้า","เว็บของเราเหลืออีก 1 ห้องเท่านั้นในราคานี้"
"https://www.booking.com/hotel/th/public-house.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=938412210_366106501_2_2_0&highlighted_blocks=938412210_366106501_2_2_0&matching_block_id=938412210_366106501_2_2_0&sr_pri_blocks=938412210_366106501_2_2_0__387018&from=searchresults","https://cf.bstatic.com/xdata/images/hotel/square240/476857177.webp?k=0b3fc2ef54cbbb7a06e338ea1ac274662a53babf740118b9d295595c1fe4207f&o=","Public House Bangkok, a Member of Design Hotels","https://www.booking.com/hotel/th/public-house.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=938412210_366106501_2_2_0&highlighted_blocks=938412210_366106501_2_2_0&matching_block_id=938412210_366106501_2_2_0&sr_pri_blocks=938412210_366106501_2_2_0__387018&from=searchresults&map=1","วัฒนา, กรุงเทพมหานคร (สุขุมวิท)","6.9 กม. จากย่านใจกลาง","","ได้ 9.1 คะแนน","9.1","ดีเลิศ","936 ความคิดเห็นจากผู้เข้าพัก","Downtown Twin Room","2 เตียงเดี่ยว","","THB 3,870","ราคาเดิม THB 4,778 ราคาปัจจุบัน THB 3,870","รวมภาษีและค่าธรรมเนียมแล้ว","","THB 4,778","","เว็บของเราเหลืออีก 6 ห้องเท่านั้นในราคานี้"
"https://www.booking.com/hotel/th/vince-hotel.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=141195004_89637093_2_1_0_389612&highlighted_blocks=141195004_89637093_2_1_0_389612&matching_block_id=141195004_89637093_2_1_0_389612&sr_pri_blocks=141195004_89637093_2_1_0_389612_238140&from=searchresults","https://cf.bstatic.com/xdata/images/hotel/square240/488516110.webp?k=0247391ea5a08deb96061b766bbe58a8a5e779b4c42fd89d5ca66b9bc5a8cacf&o=","Vince Hotel Pratunam","https://www.booking.com/hotel/th/vince-hotel.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=141195004_89637093_2_1_0_389612&highlighted_blocks=141195004_89637093_2_1_0_389612&matching_block_id=141195004_89637093_2_1_0_389612&sr_pri_blocks=141195004_89637093_2_1_0_389612_238140&from=searchresults&map=1","ประตูน้ำ, กรุงเทพมหานคร (ประตูน้ำ)","3.2 กม. จากย่านใจกลาง","ใกล้รถไฟฟ้า/ใต้ดิน","ได้ 8.7 คะแนน","8.7","ยอดเยี่ยม","914 ความคิดเห็นจากผู้เข้าพัก","Superior Explorer Twin","2 เตียงเดี่ยว","","THB 2,381","ราคาเดิม THB 7,000 ราคาปัจจุบัน THB 2,381","รวมภาษีและค่าธรรมเนียมแล้ว","ข้อเสนอส่งท้ายปี","THB 7,000","รวมอาหารเช้า",""
"https://www.booking.com/hotel/th/chatrium-grand-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=901611111_360977710_2_1_0_148530&highlighted_blocks=901611111_360977710_2_1_0_148530&matching_block_id=901611111_360977710_2_1_0_148530&sr_pri_blocks=901611111_360977710_2_1_0_148530_921213&from=searchresults","https://cf.bstatic.com/xdata/images/hotel/square240/415856023.webp?k=6f81be09ef076c25583552b06040ee3f9b057d04e881e48d63fb767ba60da9cf&o=","โรงแรมชาเทรียม แกรนด์ กรุงเทพฯ","https://www.booking.com/hotel/th/chatrium-grand-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=901611111_360977710_2_1_0_148530&highlighted_blocks=901611111_360977710_2_1_0_148530&matching_block_id=901611111_360977710_2_1_0_148530&sr_pri_blocks=901611111_360977710_2_1_0_148530_921213&from=searchresults&map=1","ประตูน้ำ, กรุงเทพมหานคร (ประตูน้ำ)","3.2 กม. จากย่านใจกลาง","ใกล้รถไฟฟ้า/ใต้ดิน","ได้ 9.4 คะแนน","9.4","ดีเลิศ","2,989 ความคิดเห็นจากผู้เข้าพัก","ห้องดีลักซ์เตียงคิงไซส์","1 เตียงใหญ่","","THB 9,212","ราคาเดิม THB 12,042 ราคาปัจจุบัน THB 9,212","รวมภาษีและค่าธรรมเนียมแล้ว","ข้อเสนอส่งท้ายปี","THB 12,042","รวมอาหารเช้า",""
"https://www.booking.com/hotel/th/beanstalk-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=729626904_325502961_2_2_0&highlighted_blocks=729626904_325502961_2_2_0&matching_block_id=729626904_325502961_2_2_0&sr_pri_blocks=729626904_325502961_2_2_0__116041&from=searchresults","https://cf.bstatic.com/xdata/images/hotel/square240/399751322.webp?k=882f0a772fcc0b7caa6ae407879288e85322510e3dff9e38633c7ade031b0860&o=","Beanstalk Bangkok","https://www.booking.com/hotel/th/beanstalk-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=729626904_325502961_2_2_0&highlighted_blocks=729626904_325502961_2_2_0&matching_block_id=729626904_325502961_2_2_0&sr_pri_blocks=729626904_325502961_2_2_0__116041&from=searchresults&map=1","บางรัก, กรุงเทพมหานคร","3.6 กม. จากย่านใจกลาง","","ได้ 8.2 คะแนน","8.2","ดีมาก","1,839 ความคิดเห็นจากผู้เข้าพัก","ห้องมาตรฐานเตียงแฝด","1 เตียงในเตียงสองชั้น","","THB 1,160","ราคาเดิม THB 2,755 ราคาปัจจุบัน THB 1,160","รวมภาษีและค่าธรรมเนียมแล้ว","ข้อเสนอส่งท้ายปี","THB 2,755","",""
"https://www.booking.com/hotel/th/the-standard-bangkok-mahanakhon.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=810038712_343183919_2_1_0&highlighted_blocks=810038712_343183919_2_1_0&matching_block_id=810038712_343183919_2_1_0&sr_pri_blocks=810038712_343183919_2_1_0__716400&from=searchresults","https://cf.bstatic.com/xdata/images/hotel/square240/339218334.webp?k=bf0340109dddf15b5206ccb2fd7e864ecb0ea45fa52f9c311ccb26df4dbffed7&o=","The Standard, Bangkok Mahanakhon","https://www.booking.com/hotel/th/the-standard-bangkok-mahanakhon.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=810038712_343183919_2_1_0&highlighted_blocks=810038712_343183919_2_1_0&matching_block_id=810038712_343183919_2_1_0&sr_pri_blocks=810038712_343183919_2_1_0__716400&from=searchresults&map=1","บางรัก, กรุงเทพมหานคร (ย่านสถานทูต)","4.3 กม. จากย่านใจกลาง","","ได้ 9.1 คะแนน","9.1","ดีเลิศ","1,187 ความคิดเห็นจากผู้เข้าพัก","ห้องดีลักซ์เตียงคิงไซส์","1 เตียงคิงไซส์","","THB 7,164","ราคาเดิม THB 7,960 ราคาปัจจุบัน THB 7,164","ไม่รวมภาษีและค่าธรรมเนียม THB 1,268","","THB 7,960","รวมอาหารเช้า",""
"https://www.booking.com/hotel/th/nysa-bangkok-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=1119286801_415969265_2_2_0_769785&highlighted_blocks=1119286801_415969265_2_2_0_769785&matching_block_id=1119286801_415969265_2_2_0_769785&sr_pri_blocks=1119286801_415969265_2_2_0_769785_320760&from=searchresults","https://cf.bstatic.com/xdata/images/hotel/square240/517584433.webp?k=87d7879d9ac8ab0cbc3614a2d3b38e4f8f3d8ceb8983158c46b4a9c3ec6ce717&o=","Nysa Hotel Bangkok Sukhumvit 11","https://www.booking.com/hotel/th/nysa-bangkok-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=1119286801_415969265_2_2_0_769785&highlighted_blocks=1119286801_415969265_2_2_0_769785&matching_block_id=1119286801_415969265_2_2_0_769785&sr_pri_blocks=1119286801_415969265_2_2_0_769785_320760&from=searchresults&map=1","วัฒนา, กรุงเทพมหานคร (สุขุมวิท)","5.8 กม. จากย่านใจกลาง","","ได้ 8.8 คะแนน","8.8","ยอดเยี่ยม","1,810 ความคิดเห็นจากผู้เข้าพัก","ห้องดีลักซ์","เตียงหลายประเภท","ยกเลิกฟรี","THB 3,208","ราคาเดิม THB 4,950 ราคาปัจจุบัน THB 3,208","รวมภาษีและค่าธรรมเนียมแล้ว","","THB 4,950","",""
