name href,name,address
https://www.booking.com/hotel/th/somerset-rama-ix.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=597446711_407774993_2_2_0&highlighted_blocks=597446711_407774993_2_2_0&matching_block_id=597446711_407774993_2_2_0&sr_pri_blocks=597446711_407774993_2_2_0__330100&from_sustainable_property_sr=1&from=searchresults,Somerset Rama 9 Bangkok,"22 Ratchadaphisek Road Huai Khwang, Huai Kwang, ห้วยขวาง, 10320 กรุงเทพมหานคร, ไทย"
https://www.booking.com/hotel/th/thonglor-ekamai-spacious-1-br-1-bathroom-sofa-bed-kitchen.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=1223638203_418531362_0_0_0_887426&highlighted_blocks=1223638203_418531362_0_0_0_887426&matching_block_id=1223638203_418531362_0_0_0_887426&sr_pri_blocks=1223638203_418531362_0_0_0_887426_64260&from=searchresults,Petch Tower Ekkamai,
https://www.booking.com/hotel/th/thee.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=108069302_129992767_3_1_0_1127716&highlighted_blocks=108069302_129992767_3_1_0_1127716&matching_block_id=108069302_129992767_3_1_0_1127716&sr_pri_blocks=108069302_129992767_3_1_0_1127716_213707&from=searchresults,"THEE Bangkok by TH District ""newly renovated""","9/1 Sukumvit 20, Wattana, คลองเตย, 10110 กรุงเทพมหานคร, ไทย"
https://www.booking.com/hotel/th/the-mustang-blu.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=603138908_309461470_2_1_0&highlighted_blocks=603138908_309461470_2_1_0&matching_block_id=603138908_309461470_2_1_0&sr_pri_blocks=603138908_309461470_2_1_0__526500&from=searchresults,The Mustang Blu,"721 Maitri Chit Road Pom Prap, Pom Prap Sattru Phai, Pom Prap Sattru Phai, 10100 กรุงเทพมหานคร, ไทย"
https://www.booking.com/hotel/th/public-house.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=938412210_366106501_2_2_0&highlighted_blocks=938412210_366106501_2_2_0&matching_block_id=938412210_366106501_2_2_0&sr_pri_blocks=938412210_366106501_2_2_0__387018&from=searchresults,"Public House Bangkok, a Member of Design Hotels","249 Soi Sukhumvit 31, Khlong Tan Nuea, Watthana, Bangkok 10110, วัฒนา, 10110 กรุงเทพมหานคร, ไทย"
https://www.booking.com/hotel/th/vince-hotel.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=141195004_89637093_2_1_0_389612&highlighted_blocks=141195004_89637093_2_1_0_389612&matching_block_id=141195004_89637093_2_1_0_389612&sr_pri_blocks=141195004_89637093_2_1_0_389612_238140&from=searchresults,Vince Hotel Pratunam,
https://www.booking.com/hotel/th/chatrium-grand-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=901611111_360977710_2_1_0_148530&highlighted_blocks=901611111_360977710_2_1_0_148530&matching_block_id=901611111_360977710_2_1_0_148530&sr_pri_blocks=901611111_360977710_2_1_0_148530_921213&from=searchresults,โรงแรมชาเทรียม แกรนด์ กรุงเทพฯ,
https://www.booking.com/hotel/th/beanstalk-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=729626904_325502961_2_2_0&highlighted_blocks=729626904_325502961_2_2_0&matching_block_id=729626904_325502961_2_2_0&sr_pri_blocks=729626904_325502961_2_2_0__116041&from=searchresults,Beanstalk Bangkok,
https://www.booking.com/hotel/th/the-standard-bangkok-mahanakhon.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=810038712_343183919_2_1_0&highlighted_blocks=810038712_343183919_2_1_0&matching_block_id=810038712_343183919_2_1_0&sr_pri_blocks=810038712_343183919_2_1_0__716400&from=searchresults,"The Standard, Bangkok Mahanakhon",
https://www.booking.com/hotel/th/nysa-bangkok-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=1119286801_415969265_2_2_0_769785&highlighted_blocks=1119286801_415969265_2_2_0_769785&matching_block_id=1119286801_415969265_2_2_0_769785&sr_pri_blocks=1119286801_415969265_2_2_0_769785_320760&from=searchresults,Nysa Hotel Bangkok Sukhumvit 11,"73/7-8 Sukhumvit 13, Klongtoey-Nua, Wattana, วัฒนา, 10110 กรุงเทพมหานคร, ไทย"
