name,name href,address
นาซ่า กรุงเทพฯ,https://th.trip.com/hotels/detail/?cityId=359&hotelId=996749&checkIn=2025-10-23&checkOut=2025-10-24&adult=2&children=0&subStamp=800&crn=1&ages=&travelpurpose=0&curr=THB&link=title&hoteluniquekey=H4sIAAAAAAAA_-NawMTFJMEkxMTBKDWViaN564ktrBa_BR2XFNhyXf-d5uBZCKQXC2Q7BPAUMoCBhkMjI0isYK-SwyTGCs7-Q181YowmOAiCZSd0OSg5c7y_88RdQERi5badbcwKjJowjYYwhkWsI8wITxgjiJVjv4YESxQrx0pmCSYlcY7fTXssBBoZJf53LF3NqMBocVA8iCGKwYmN4_VKNgmWGYy9r202MhqDQLCDww5GphOMR9kWMN26x7aLCarmEBMrx81iCZZTTAyXmBhuMTE8YoJY8oqJ4RMTxKJfMMVNzAxdzAyTmCFaZjFDVC5iZpDiNbRITjS1NDY1TLS0MFQQ0rjZ_esYm5HSJEamEI9TjFKG5ibGxpYmRkaGBpaWeqnmlomZ6fnJmTkmRlbMUoxuHoxBbI5OjqYGzlFaXMwhHk6C_HOMF20xP2MvBeIpwnhaIJ4hjJfEWpKhG-KRsV24gLGLkUOA0YMxgrGC8RUjSNUPkOcBtRm8TbsBAAA&subChannel=&masterhotelid_tracelogid=18ca59351a981&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&isFirstEnterDetail=T&barcurr=THB&locale=th-TH&isRightClick=T,"44 ถ. สุขุมวิท 71 แขวงสวนหลวง, เขตสวนหลวง, กรุงเทพฯ, 10250"
โรงแรมอีสติน แกรนด์ พญาไท,https://th.trip.com/hotels/detail/?cityId=359&hotelId=107192874&checkIn=2025-10-23&checkOut=2025-10-24&adult=2&children=0&subStamp=800&crn=1&ages=&travelpurpose=0&curr=THB&link=title&hoteluniquekey=H4sIAAAAAAAA_-O6yMTFJMEkxMTBKHWMieP9vsc72Sx-Czo-rBJZ567c7-B59gwQBE9yCOApZAABi4kOjYxpILCs02ES4zxGTpDS4-pHHATBokYHHJTcOLafuOIvoCgx8-OU5cwKjJpgnR79DoYwhsVsaUeYIZ4wRhAbx9rb0hIsUWwcHxcBHaUkzvG7aY-FQCOjxP-OpasZFRgtDooHMUQxKCkqsEDMdIiEmglkWDzjBJqw9RET0AQGJzaOKf_sJFhmMK460me8gpFxIyPYS4JpDjsYmU4wrlFewHR35j3jXUxQhYeAjMsfWSRYTjExXGJiuMXE8Ago8mivnATLKyaGT0xQN_2CqW9iZuhiZpjEDNU1ixmqeBEzgxSfiVGKYYpZYoqxhZFpqoWCkMbd7l_H2IyUJjEyhXicYpQyNDcxNrY0MTIyNLC01Es1t0zMTM9PzswxMbJilmJ082AMYjM0MHN0tIjS4mIO8XAS5J9jvGiL-Rl7KRBPEcbTAvEMYbwk1pIM3RCPjO3CBYxdjBwCjB6MEYwVjK8YQap-gMMBAKgWKsXuAQAA&subChannel=&masterhotelid_tracelogid=42d1d6ad3825e8&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&isFirstEnterDetail=T&barcurr=THB&locale=th-TH&isRightClick=T,"18 ถ.พญาไท ทุ่งพญาไท, เขตราชเทวี, กรุงเทพฯ, 10400"
โรงแรมเอเชียกรุงเทพ,https://th.trip.com/hotels/detail/?cityId=359&hotelId=995970&checkIn=2025-10-23&checkOut=2025-10-24&adult=2&children=0&subStamp=800&crn=1&ages=&travelpurpose=0&curr=THB&link=title&hoteluniquekey=H4sIAAAAAAAA_-O6z8jFJMEkxMTBKHWFkeP7set3WIUYjQz6RS162hgdZ80EgomFDp5LCmy5rq8vcQjgKWQAA0OHSYzWnNUi69wfvtrgIBi0Q6719cV1DkoKCiyaMBWGMIbFM84gVo6HrBJMUQxOrBy7qiWYZjA2PbVZwci4kRGs9aOHww5GphOMDVwLmD7037HYxQRRdoiJjaNhI6MEyykmhktMDLeYGB4xQUx6xcTwiYnhF1RdEzNDFzPDJGao6lnMEEWLmBmkeA0tkhNNLY1NDRMtLQwVhDRudv86xmakNImRKcTjFKOUobmJsbGliZGRoYGlpV6quWViZnp-cmaOiZEVsxSjmwdjEJuhk4u5hWWUFhezp1-QoNlZa7-LE7fYSzGHeDgp8s8xXrTF_Iy9FohnCOMlsZZk6IZ4ZGwXLmDsYuQQYPRgjGCsYHzFCFL1A-R3AAU70m96AQAA&subChannel=&masterhotelid_tracelogid=18ca59351a981&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&isFirstEnterDetail=T&barcurr=THB&locale=th-TH&isRightClick=T,"269 ถ.พ, เขตราชเทวี, กรุงเทพฯ, 10400"
โรงแรมทวิน ทาวเวอร์,https://th.trip.com/hotels/detail/?cityId=359&hotelId=703132&checkIn=2025-10-23&checkOut=2025-10-24&adult=2&children=0&subStamp=800&crn=1&ages=&travelpurpose=0&curr=THB&link=title&hoteluniquekey=H4sIAAAAAAAA_-P6yMjFJMEkxMTBKPWMkaO9Z-0kNou9Uo5nzwDBmiwHT2MQyM53COApZAADBYdJjKGc1SLr3B8mTnIQBIs59DsoiXP8btpjIdDIKPG_Y-lqRgVGi4PiQQxRDEoKCiyaMK2GMIbFM84gVo6_EhIsUQxObBz909klWGYwzvmqtZFx1kwg-OnksIOR6QTjGfYFTJdm3rXZxQRVdAjI2NPGKMFyionhEhPDLSaGR0wQg14xMXxiYvgFU9jEzNDFzDCJGap8FjNE1SJmBileQ4vkRFNLY1PDREsLQwUhjZvdv46xGSlNYmQK8TjFKGVobmJsbGliZGRoYGmpl2pumZiZnp-cmWNiZMUsxejmwRjE5uzibO5kEqXFxRzi4STIP8d40RbzM_ZSIJ4ijKcF4hnCeEmsJRm6IR4Z24ULGLsYOQQYPRgjGCsYXzGCVP0AeR0AlCOgzowBAAA&subChannel=&masterhotelid_tracelogid=18ca59351a981&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&isFirstEnterDetail=T&barcurr=THB&locale=th-TH&isRightClick=T,"88 รองเมือง ปทุมวัน, ถ.พระราม 6, เขตปทุมวัน, กรุงเทพฯ, 10330"
โรงแรมเดอะ เบอร์เคลีย์ ประตูน้ำ,https://th.trip.com/hotels/detail/?cityId=359&hotelId=1518301&checkIn=2025-10-23&checkOut=2025-10-24&adult=2&children=0&subStamp=800&crn=1&ages=&travelpurpose=0&curr=THB&link=title&hoteluniquekey=H4sIAAAAAAAA_-O6zcjFJMEkxMTBKHWBkaP_zP13rBa_BR3TQKCmxcGz0Jbr-mKZDocAnkbG1teBO-RSHRwmMbpxMoBAxGoHQTDDbrmDki7H6anXnQXyJf7fvv2BSYHR4qGYI0yHJ4wRxBDFyjG7RILFiZljjfQMxrtXY1YwMm5kDNoh1_qaMdZhByPTCcZ54guYXrc_ttjFBFJ0iImNY9ZsZgmWU0wMl5gYbjExPGJieMXE8IkJYtIvsKomZoYuZoZJzFC1s5gZFjEzSPEaWiQnmloamxomWloYKghp3Oz-dYzNSGkSI1OIxylGKUNzE2NjSxMjI0MDS0u9VHPLxMz0_OTMHBMjK2YpRjcPxiA2SzcnJ3PXKC0u5hAPJ0H-OcaLtpifsZcC8RRhPC0QzxDGS2ItydAN8cjYLlzA2MXIIcDowRjBWMH4ihGk6gfIywCYZxGEdgEAAA&subChannel=&masterhotelid_tracelogid=18ca59351a981&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&isFirstEnterDetail=T&barcurr=THB&locale=th-TH&isRightClick=T,"559 ราชปรารภ, มักกะสัน ราชเทวี, เขตราชเทวี, กรุงเทพฯ, 10400"
12 เดอะ เรสซิเดนซ์ โฮเทลแอนด์อพาร์ตเมนต์,https://th.trip.com/hotels/detail/?cityId=359&hotelId=96208858&checkIn=2025-10-23&checkOut=2025-10-24&adult=2&children=0&subStamp=800&crn=1&ages=&travelpurpose=0&curr=THB&link=title&hoteluniquekey=H4sIAAAAAAAA_-NaxMjFJMEkxMTBKDWdkWPH7wevWC2aPBxj-g991QhJdvBkAIEDaQ4BPJMYpThhPEEwIyHJwYmNo6mVVYJlBuOt_g-6GxnlW18H7oizdtjByHSCcS_rAqaTqyYY72KCqjrExMrRkCjBcoqJ4RITwy0mhkdMDK-YGD4xMfyCKWliZuhiZpjEDFE4i5lhETODFK-hRXKiqaWxqWGipYWhgpDGze5fx9iMlCYxMoV4nGKUMjQ3MTa2NDEyMjSwtNRLNbdMzEzPT87MMTGyYpZidPNgDGIzMzM1NjWI0uJidvaLhDif4YO9FHOIh5Mi_xzjRVvMz9hrgXiGMF4Sa0mGbohHxnbhAsYuRg4BRg_GCMYKxleMIFU_wP4FAIIRmfA-AQAA&subChannel=&masterhotelid_tracelogid=18ca59351a981&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&isFirstEnterDetail=T&barcurr=THB&locale=th-TH&isRightClick=T,"22 ซ.สรณคมน์ 12 แขวงสีกัน, เขตดอนเมือง, กรุงเทพฯ, 10210"
ไอบิส สไตล์ กรุงเทพ สีลม,https://th.trip.com/hotels/detail/?cityId=359&hotelId=57352068&checkIn=2025-10-23&checkOut=2025-10-24&adult=2&children=0&subStamp=800&crn=1&ages=&travelpurpose=0&curr=THB&link=title&hoteluniquekey=H4sIAAAAAAAA_-Naz8TFJMEkxMTBKLWEiePfufX3WYUYjQzkLb4KOgbtkGt9zVjh4Cnf-jpwh1ONQwBPIQMYJDg0Moqsc39YJRLjMImxmvP64gLbrv4lDoJgLeKLHJTcOBq_LvMTUJRoPf5gEbMCoyZMoyGMYXFSwhFmhieMEcTGsfoIswRLFBtHex-QVhLn-N20x0KgkVHif8fS1YwKjBYHxYMYohic2Dg6OwQkWGYwtuxfI72R0RgEmAMddjAynWC8wLuAadWahdK7mKCqDgEZ0z8ySrCcYmK4xMRwi4nhERPUpldMDJ-YoLb9gqlvYmboYmaYxAzVNYsZqngRM4MUr6FFcqKppbGpYaKlhaGCkMbN7l_H2IyUJjEyhXicYpQyNDcxNrY0MTIyNLC01Es1t0zMTM9PzswxMbJilmJ082AMYnMyMXOztIjS4mIO8XAS5J9jvGiL-Rl7KRBPEcbTAvEMYbwk1pIM3RCPjO3CBYxdjBwCjB6MEYwVjK8YQap-gMMAAFKq0ubLAQAA&subChannel=&masterhotelid_tracelogid=18ca59351a981&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&isFirstEnterDetail=T&barcurr=THB&locale=th-TH&isRightClick=T,"289 ถ.สีลม, เขตบางรัก, กรุงเทพฯ, 10500"
AETAS ลุมพินี,https://th.trip.com/hotels/detail/?cityId=359&hotelId=700709&checkIn=2025-10-23&checkOut=2025-10-24&adult=2&children=0&subStamp=800&crn=1&ages=&travelpurpose=0&curr=THB&link=title&hoteluniquekey=H4sIAAAAAAAA_-NaxsTFJMEkxMTBKDWbiWN_87oPrBa_BR1j-g991ZhT4eA5ayYQ_KxxCOApZACBgCkOjYxLCmy5rjtMcpjEWMcJFnXY7yAIZhzY46DkzLG774q_gKLE0YOTlzMrMGqCZW5MdjCEMSwaZR1hZnjCGEHMHA26UWwcDfOYJZiUFBRYIPoY7KD6gAyLZ5xBrByLMyRYohicmDkO2M1gXPpIayPjNw2ge0sDHXYwMp1g_Me7gOnNxMcWu5hAKg4xsXHs-84owXKKieESE8MtJoZHQJHFf5QlWF4xMXxigtr3C6y4iZmhi5lhEjNUyyxmqMpFzAxSvIYWyYmmlsamhomWFoYKQho3u38dYzNSmsTIFOJxilHK0NzE2NjSxMjI0MDSUi_V3DIxMz0_OTPHxMiKWYrRzYMxiM3R0sXVzS1Ki4s5xMNJkH-O8aIt5mfspUA8RRhPC8QzhPGSWEsydEM8MrYLFzB2MXIIMHowRjBWML5iBKn6AfI8AColy2fBAQAA&subChannel=&masterhotelid_tracelogid=18ca59351a981&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&isFirstEnterDetail=T&barcurr=THB&locale=th-TH&isRightClick=T,"1030 4 ถ. พระรามที่ ๔ แขวงท, เขตสาทร, กรุงเทพฯ, 10120"
เมอร์เคียว กรุงเทพ สุรวงศ์,https://th.trip.com/hotels/detail/?cityId=359&hotelId=114397688&checkIn=2025-10-23&checkOut=2025-10-24&adult=2&children=0&subStamp=800&crn=1&ages=&travelpurpose=0&curr=THB&link=title&hoteluniquekey=H4sIAAAAAAAA_-NazsjFJMEkxMTBKDWHkWP-iZsT2Cx-CzoW2nJdXyxT5uB5-KtGTD9blUMAzyRGKU4wr3mugyADCEyY5eDExnHzMLcEywzGH4uPma1gZNzI2H8IqMjf32EHI9MJxqM8C5iWnLhts4sJqvAQkPHtLqMEyykmhktMDLeYGB4xMbxiYvjExPALpqaJmaGLmWESM1TlLGaGRcwMUryGFsmJppbGpoaJlhaGCkIaN7t_HWMzUprEyBTicYpRytDcxNjY0sTIyNDA0lIv1dwyMTM9Pzkzx8TIilmK0c2DMYjNzM3N3MUySouLOcTDSZB_jvGiLeZn7KVAPEUYTwvEM4TxklhLMnRDPDK2CxcwdjFyCDB6MEYwVjC-YgSp-gH2NABJaKG8QwEAAA&subChannel=&masterhotelid_tracelogid=18ca59351a981&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&isFirstEnterDetail=T&barcurr=THB&locale=th-TH&isRightClick=T,"222 ถนนสุรวงศ์ แขวงสี่พระยา, เขตบางรัก, กรุงเทพฯ, 10500"
ชาเทรียม แกรนด์ กรุงเทพฯ,https://th.trip.com/hotels/detail/?cityId=359&hotelId=97075294&checkIn=2025-10-23&checkOut=2025-10-24&adult=2&children=0&subStamp=800&crn=1&ages=&travelpurpose=0&curr=THB&link=title&hoteluniquekey=H4sIAAAAAAAA_-NawMTFJMEkxMTBKDWViaPtyLT7rBa_BR13yLW-Dvw418ETzJi_0CGAp5ABBD5UODQyasb0H_r6othhEmM5J1i09biD4NkzQHDhkIOSK8f508_dBEQkFu7-0ciswKgJ02gIY1jEOsKM8IQxgtg4-nsZJZii2Dh-vOCQYFES5_jdtMdCoJFR4n_H0tWMCowWB8WDGKIYnJg5uuJmMN5rWKq3kfFhlcg6d9NShx2MTCcYfzgvYGqb8NhiFxNIySEmNo7jmzglWE4xMVxiYrjFxPCICWrHKyaGT0xQe36BFTcxM3QxM0xihmqZxQxVuYiZQYovNSnFIMUs1dTY0NgixUJBSONO969jbEZKkxiZQjxOMUoZmpsYG1uaGBkZGlha6qWaWyZmpucnZ-aYGFkxSzG6eTAGsbkaOpu6WERpcTGHeDgJ8s8xXrTF_Iy9FIinCONpgXiGMF4Sa0mGbohHxnbhAsYuRg4BRg_GCMYKxleMIFU_wN4HAMVmRCm9AQAA&subChannel=&masterhotelid_tracelogid=ebd0d6e53138d8&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&isFirstEnterDetail=T&barcurr=THB&locale=th-TH&isRightClick=T,"728 ถ., เขตราชเทวี, กรุงเทพฯ, 10400"
